"Source:","H:\YandexDisk\Работа\HOMEProjects\MICRO\gitlab.com\xiao_lamp\resources\circuit\kicad\xiao_lamp.kicad_sch"
"Date:","11.09.2023 22:08:55"
"Tool:","Eeschema 7.0.7"
"Generator:","H:\Apps\Scoop\apps\kicad\current\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","14"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","0.1мкф","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C2","1","0.33мкф","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"FRES1","1","Photoresisor","JST-2-XH_1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","",""
"JST1","1","POWER","JST-2-XH","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","",""
"LMP1","1","LAMP","JST-2-XH_1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","",""
"MOSFET1","1","2N7002","2N7002","PCM_Package_TO_SOT_SMD_AKL:SOT-23","SOT-23 N-MOSFET enchancement mode transistor, 60V, 115mA, 200mW, Alternate KiCAD Library","",""
"R1","1","10K","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R2, R3","2","100K","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"RSW1","1","RESET","JST-2-XH_1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","",""
"RV1","1","TIME","R_Potentiometer","PCM_Potentiometer_THT_AKL:Potentiometer_Bourns_3296W_Vertical","Potentiometer","",""
"RV2","1","LIMITER","R_Potentiometer","PCM_Potentiometer_THT_AKL:Potentiometer_Bourns_3296W_Vertical","Potentiometer","",""
"U1","1","LM78M05_TO252","LM78M05_TO252","Package_TO_SOT_SMD:TO-252-2","Positive 500mA 35V Linear Regulator, Fixed Output 5V, TO-252 (D-PAK)","",""
"U2","1","SeeeduinoXIAO","SeeeduinoXIAO","xiao:Seeduino XIAO-MODULE14H-2.54-21X17.8MM","","",""
